RandomValGroupsRelax(84)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(226)
RandomRelax(84)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(228)
RandomValGroupsRelax(84)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(229)
RandomValGroupsRelax(84)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(229)
RandomValGroupsRelax(84)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(229)
FullRelax_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(229)
FullRelax_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(229)
FullRelax_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(229)
FullRelax_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(229)
RandomValGroupsRelax(84)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(230)
FullRelax_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(230)
FullRelax_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(230)
FullRelax_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(230)
FullRelax_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(230)
FullRelax_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(230)
RandomValGroupsRelax(84)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(231)
RandomValGroupsRelax(84)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(231)
RandomRelax(84)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(231)
FullRelax_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(231)
FullRelax_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(231)
RandomRelax(84)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(232)
FullRelax_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(232)
RandomRelax(84)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(232)
RandomValGroupsRelax(84)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(233)
RandomRelax(84)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(233)
RandomValGroupsRelax(84)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(234)
RandomRelax(84)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(234)
RandomValGroupsRelax(84)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(235)
RandomValGroupsRelax(84)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(235)
RandomRelax(84)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(235)
RandomValGroupsRelax(84)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(236)
RandomRelax(84)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(237)
