RandomRelax(12)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(3)
RandomRelax(12)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(4)
RandomValGroupsRelax(12)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(6)
RandomValGroupsRelax(12)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(6)
RandomValGroupsRelax(12)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(6)
RandomValGroupsRelax(12)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(6)
RandomRelax(12)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(6)
RandomRelax(12)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(6)
RandomRelax(12)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(7)
RandomValGroupsRelax(12)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(7)
RandomRelax(12)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(7)
RandomRelax(12)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(7)
RandomRelax(12)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(7)
RandomRelax(12)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(8)
RandomValGroupsRelax(12)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(8)
RandomValGroupsRelax(12)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(8)
RandomValGroupsRelax(12)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(8)
RandomRelax(12)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(8)
RandomRelax(12)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(8)
RandomRelax(12)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(8)
RandomRelax(12)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(8)
RandomRelax(12)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(8)
RandomValGroupsRelax(12)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(9)
RandomRelax(12)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(9)
RandomValGroupsRelax(12)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(10)
RandomValGroupsRelax(12)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(10)
RandomValGroupsRelax(12)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(10)
RandomValGroupsRelax(12)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(10)
