RandomValGroupsRelax(12)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(5)
RandomValGroupsRelax(12)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(7)
RandomValGroupsRelax(12)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(8)
RandomRelax(12)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(8)
RandomValGroupsRelax(12)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(9)
RandomValGroupsRelax(12)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(9)
RandomValGroupsRelax(12)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(9)
RandomValGroupsRelax(12)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(9)
RandomRelax(12)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(9)
RandomValGroupsRelax(12)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(10)
RandomValGroupsRelax(12)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(10)
RandomValGroupsRelax(12)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(10)
RandomValGroupsRelax(12)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(10)
RandomRelax(12)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(10)
RandomRelax(12)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(10)
RandomRelax(12)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(10)
RandomValGroupsRelax(12)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(11)
RandomRelax(12)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(11)
RandomRelax(12)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(12)
RandomRelax(12)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(12)
RandomValGroupsRelax(12)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(13)
RandomValGroupsRelax(12)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(13)
RandomValGroupsRelax(12)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(13)
RandomRelax(12)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(13)
RandomRelax(12)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(14)
RandomValGroupsRelax(12)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(14)
RandomRelax(12)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(14)
RandomRelax(12)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(14)
CircuitKoptRelax(6)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(14)
RandomValGroupsRelax(12)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(15)
RandomValGroupsRelax(12)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(15)
CircuitKoptRelax(6)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(15)
CircuitKoptRelax(6)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(15)
RandomRelax(12)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(16)
RandomRelax(12)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(16)
RandomRelax(12)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(16)
RandomRelax(12)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(16)
CircuitKoptRelax(6)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(16)
CircuitKoptRelax(6)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(16)
CircuitKoptRelax(6)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(16)
CircuitKoptRelax(6)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(16)
RandomRelax(12)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(16)
CircuitKoptRelax(6)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(17)
CircuitKoptRelax(6)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(18)
CircuitKoptRelax(6)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(18)
CircuitKoptRelax(6)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(18)
RandomRelax(12)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(19)
CircuitKoptRelax(6)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(19)
CircuitKoptRelax(6)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(19)
CircuitKoptRelax(6)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(24)
CircuitKoptRelax(6)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(25)
CircuitKoptRelax(6)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(25)
CircuitKoptRelax(6)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(26)
RandomValGroupsRelax(34)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(27)
CircuitKoptRelax(6)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(28)
RandomRelax(34)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(29)
RandomRelax(34)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(30)
RandomValGroupsRelax(34)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(31)
RandomRelax(34)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(33)
RandomValGroupsRelax(34)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(34)
RandomValGroupsRelax(34)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(34)
RandomValGroupsRelax(34)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(34)
RandomValGroupsRelax(34)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(34)
RandomValGroupsRelax(34)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(35)
RandomValGroupsRelax(34)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(35)
RandomRelax(34)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(36)
RandomValGroupsRelax(34)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(37)
RandomRelax(34)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(37)
RandomRelax(34)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(37)
CircuitKoptRelax(17)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(37)
RandomRelax(34)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(38)
RandomValGroupsRelax(34)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(39)
RandomRelax(34)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(39)
CircuitKoptRelax(17)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(39)
RandomValGroupsRelax(34)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(40)
RandomRelax(34)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(40)
RandomValGroupsRelax(34)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(41)
RandomRelax(34)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(41)
RandomValGroupsRelax(34)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(42)
RandomRelax(34)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(42)
RandomRelax(34)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(42)
RandomRelax(34)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(43)
RandomValGroupsRelax(34)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(43)
RandomRelax(34)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(44)
RandomRelax(34)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(44)
RandomValGroupsRelax(34)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(44)
CircuitKoptRelax(17)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(44)
RandomValGroupsRelax(34)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(45)
CircuitKoptRelax(17)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(45)
CircuitKoptRelax(17)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(46)
RandomValGroupsRelax(34)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(49)
RandomRelax(34)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(50)
RandomValGroupsRelax(34)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(50)
RandomRelax(34)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(50)
CircuitKoptRelax(17)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(50)
CircuitKoptRelax(17)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(52)
RandomRelax(34)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(54)
CircuitKoptRelax(17)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(54)
CircuitKoptRelax(17)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(54)
CircuitKoptRelax(17)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(55)
CircuitKoptRelax(17)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(56)
CircuitKoptRelax(17)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(56)
CircuitKoptRelax(17)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(57)
CircuitKoptRelax(17)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(58)
CircuitKoptRelax(17)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(58)
CircuitKoptRelax(17)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(59)
CircuitKoptRelax(17)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(60)
CircuitKoptRelax(39)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(67)
PropGuidedRelax(156.82735570370113)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(68)
CircuitKoptRelax(39)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(70)
CircuitKoptRelax(17)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(70)
CircuitKoptRelax(39)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(71)
CircuitKoptRelax(39)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(71)
CircuitKoptRelax(39)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(71)
CircuitKoptRelax(39)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(72)
CircuitKoptRelax(39)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(72)
CircuitKoptRelax(39)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(73)
CircuitKoptRelax(39)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(74)
RandomValGroupsRelax(78)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(75)
CircuitKoptRelax(39)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(75)
CircuitKoptRelax(39)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(76)
CircuitKoptRelax(39)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(76)
PropGuidedRelax(156.82735570370113)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(76)
RandomRelax(78)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(76)
CircuitKoptRelax(39)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(77)
PropGuidedRelax(156.82735570370113)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(77)
RandomValGroupsRelax(78)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(77)
RandomValGroupsRelax(78)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(77)
CircuitKoptRelax(39)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(77)
CircuitKoptRelax(39)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(78)
CircuitKoptRelax(39)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(78)
PropGuidedRelax(156.82735570370113)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(78)
PropGuidedRelax(156.82735570370113)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(79)
PropGuidedRelax(156.82735570370113)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(79)
RandomRelax(78)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(79)
RandomRelax(78)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(79)
PropGuidedRelax(156.82735570370113)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(80)
RandomRelax(78)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(81)
RandomValGroupsRelax(78)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(81)
RandomRelax(78)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(81)
RandomRelax(78)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(81)
RandomRelax(78)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(81)
RandomRelax(78)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(81)
PropGuidedRelax(156.82735570370113)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(82)
RandomValGroupsRelax(78)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(82)
RandomValGroupsRelax(78)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(82)
RandomValGroupsRelax(78)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(82)
PropGuidedRelax(156.82735570370113)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(83)
RandomValGroupsRelax(78)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(83)
RandomValGroupsRelax(78)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(83)
RandomRelax(78)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(83)
RandomRelax(78)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(83)
PropGuidedRelax(156.82735570370113)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(84)
PropGuidedRelax(156.82735570370113)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(84)
RandomValGroupsRelax(78)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(84)
RandomValGroupsRelax(78)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(84)
CircuitKoptRelax(39)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(84)
PropGuidedRelax(156.82735570370113)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(85)
RandomRelax(78)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(85)
RandomValGroupsRelax(78)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(85)
RandomRelax(78)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(85)
RandomRelax(78)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(85)
PropGuidedRelax(156.82735570370113)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(86)
RandomRelax(78)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(86)
RandomValGroupsRelax(78)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(86)
RandomValGroupsRelax(78)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(86)
RandomRelax(78)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(86)
PropGuidedRelax(156.82735570370113)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(87)
RandomRelax(78)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(87)
RandomRelax(78)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(87)
RandomValGroupsRelax(78)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(88)
RandomValGroupsRelax(78)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(89)
RandomValGroupsRelax(78)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(91)
RandomRelax(78)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(91)
PropGuidedRelax(52.27578523456705)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(92)
PropGuidedRelax(52.27578523456705)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(93)
RandomValGroupsRelax(78)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(93)
PropGuidedRelax(156.82735570370113)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(94)
PropGuidedRelax(156.82735570370113)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(95)
PropGuidedRelax(156.82735570370113)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(96)
