RandomRelax(15)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(26444)
RandomRelax(15)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(26451)
RandomRelax(15)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(26578)
RandomValGroupsRelax(15)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(26643)
RandomRelax(15)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(26677)
RandomRelax(15)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(26774)
RandomRelax(15)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(26875)
RandomValGroupsRelax(15)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(26892)
RandomRelax(15)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(26938)
RandomValGroupsRelax(15)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(26958)
RandomValGroupsRelax(15)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(26997)
RandomValGroupsRelax(15)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(27023)
RandomValGroupsRelax(15)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(27094)
RandomValGroupsRelax(15)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(27176)
RandomValGroupsRelax(15)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(27215)
RandomRelax(15)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(27219)
RandomRelax(15)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(27258)
RandomValGroupsRelax(15)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(27280)
RandomRelax(15)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(27304)
RandomRelax(15)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(27310)
RandomValGroupsRelax(15)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(27321)
RandomValGroupsRelax(15)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(27419)
RandomValGroupsRelax(15)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(27480)
RandomValGroupsRelax(15)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(27491)
RandomRelax(15)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(27584)
RandomRelax(15)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(27592)
RandomRelax(15)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(27607)
RandomRelax(15)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(27608)
RandomRelax(15)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(27610)
RandomRelax(15)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(27610)
RandomValGroupsRelax(15)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(27681)
RandomRelax(15)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(27761)
RandomValGroupsRelax(15)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(27798)
RandomValGroupsRelax(15)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(27849)
RandomValGroupsRelax(15)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(27942)
RandomValGroupsRelax(15)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(28101)
CircuitKoptRelax(7)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(28224)
CircuitKoptRelax(7)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(28581)
CircuitKoptRelax(7)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(28816)
CircuitKoptRelax(7)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(29085)
CircuitKoptRelax(7)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(29591)
CircuitKoptRelax(7)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(30093)
CircuitKoptRelax(7)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(30358)
CircuitKoptRelax(7)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(30620)
CircuitKoptRelax(7)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(30660)
CircuitKoptRelax(7)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(30967)
