RandomRelax(45)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(136902)
RandomValGroupsRelax(15)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(137176)
RandomRelax(45)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(137276)
RandomRelax(45)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(137313)
RandomRelax(45)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(137357)
RandomRelax(45)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(137501)
RandomValGroupsRelax(45)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(137516)
RandomValGroupsRelax(45)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(137522)
RandomRelax(45)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(137527)
RandomValGroupsRelax(45)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(137540)
RandomValGroupsRelax(15)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(137588)
RandomRelax(45)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(137599)
RandomValGroupsRelax(45)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(137599)
RandomRelax(45)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(137609)
RandomValGroupsRelax(15)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(137613)
RandomRelax(45)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(137622)
RandomValGroupsRelax(45)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(137623)
RandomValGroupsRelax(45)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(137637)
RandomRelax(45)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(137645)
RandomValGroupsRelax(45)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(137645)
CircuitKoptRelax(22)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(137663)
CircuitKoptRelax(22)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(137666)
CircuitKoptRelax(22)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(137670)
RandomValGroupsRelax(45)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(137671)
RandomRelax(45)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(137678)
RandomRelax(15)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(137678)
RandomValGroupsRelax(45)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(137693)
RandomRelax(45)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(137709)
RandomRelax(45)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(137725)
RandomValGroupsRelax(15)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(137792)
RandomValGroupsRelax(15)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(137803)
CircuitKoptRelax(22)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(138121)
RandomValGroupsRelax(45)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(138246)
RandomRelax(45)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(138550)
CircuitKoptRelax(22)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(138598)
RandomRelax(45)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(138646)
CircuitKoptRelax(22)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(138699)
CircuitKoptRelax(22)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(138701)
RandomValGroupsRelax(45)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(138720)
RandomValGroupsRelax(15)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(138792)
RandomValGroupsRelax(45)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(138880)
RandomRelax(45)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(138880)
CircuitKoptRelax(22)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(138901)
